lat,long,month_n,year,season,bst,phyt,depth,slope,energy,substrate
50.6770531,-10.89245043,2,2002,1,-0.776624705,-0.495080434,-2.652313511,-0.884727877,moderate,Seabed
50.49107692,-10.7923323,2,2002,1,-0.761865808,-0.46540648,-2.668284938,-0.851528815,high,Seabed
50.14504487,-10.54440597,2,2002,1,-0.738942415,-0.53208129,-1.74294038,-0.423627056,moderate,Sand to muddy sand
50.09647837,-10.49100085,2,2002,1,-0.626523583,-0.618905081,-1.29574042,-0.871296619,moderate,Mixed sediment
50.04529413,-10.39063846,2,2002,1,-0.612392725,-0.790354593,-1.645614496,-0.48011354,moderate,Mixed sediment
50.02766414,-10.29027607,2,2002,1,-0.532317859,-0.92773401,-1.247327032,-0.715330064,moderate,Mixed sediment
50.03791623,-10.18991368,2,2002,1,-0.499973893,-0.963269486,-0.000557503,0.221443167,moderate,Mixed sediment
50.07937251,-10.08955128,2,2002,1,-0.472654233,-1.002102068,0.201081765,-0.177136658,moderate,Mixed sediment
50.14904227,-9.989188889,2,2002,1,-0.429633619,-1.01016166,-0.244121766,-0.684763011,moderate,Mixed sediment
50.31693964,-9.587739316,2,2002,1,-0.440938306,-0.996973236,3.480215395,2.205287441,moderate,Coarse sediment
50.37037743,-9.38701453,2,2002,1,-0.510336523,-0.931031116,-0.096885172,-0.790875497,moderate,Coarse sediment
50.38445829,-9.286652137,2,2002,1,-0.57628053,-0.919674418,-0.188221771,0.715521147,high,Coarse sediment
50.37037743,-9.186289744,2,2002,1,-0.550844984,-0.873881279,-1.2802681,-0.607275933,high,Rock or other hard substrata
50.3526641,-9.144256805,2,2002,1,-0.599831961,-0.846405395,-1.62764664,-0.198149581,moderate,Coarse sediment
50.32420763,-9.085927351,2,2002,1,-0.599831961,-0.846405395,-2.675771545,-0.807715423,moderate,Rock or other hard substrata
50.1428978,-8.784840171,2,2002,1,-0.599831961,-0.830652556,-2.344364432,-0.864325186,high,Sand to muddy sand
50.12341746,-8.182665812,2,2002,1,-1.09284192,-0.013336612,-2.455166208,-0.876468177,moderate,Sand to muddy sand
50.16394668,-8.082303419,2,2002,1,-1.09284192,0.012307545,-2.603401016,-0.874643646,high,Sand to muddy sand
50.42187051,-7.813958665,2,2002,1,-1.244199118,0.787127456,-2.492100133,-0.391087537,high,Sand to muddy sand
50.56028333,-7.753609468,2,2002,1,-1.144969088,0.611648147,-2.243544798,-0.701276247,moderate,Sand to muddy sand
50.69869615,-7.752832527,2,2002,1,-1.176685015,0.511635932,-1.895168044,-0.590152465,moderate,Sand to muddy sand
50.97552179,-7.865119767,2,2002,1,-1.29130198,0.140161989,-1.848251977,-0.872628033,moderate,Sand to muddy sand
51.04472821,-7.871789172,2,2002,1,-1.29130198,0.104260168,-1.849749299,-0.442149741,moderate,Sand to muddy sand
51.25234744,-7.839199804,2,2002,1,-1.331182404,0.087774638,-2.500085846,-0.806920272,,
51.32155385,-7.842948712,2,2002,1,-1.338404842,0.087774638,-2.451173351,-0.802137043,high,Sand to muddy sand
51.45996667,-7.879563823,2,2002,1,-1.338404842,-0.022861585,-2.30343765,-0.763618488,,
51.6675859,-7.895596921,2,2002,1,-1.529642464,1.135521656,-2.545005485,-0.867018834,,
51.73679231,-7.916106361,2,2002,1,-1.561358391,1.348734512,-2.544007271,-0.875975061,,
51.84274467,-7.981941026,2,2002,1,-1.561358391,1.546560871,-2.649817976,-0.859227595,high,Sand to muddy sand
51.92341819,-8.082303419,2,2002,1,-1.580827574,1.423468915,-2.808534033,-0.888543365,,
51.94048165,-8.885202564,2,2002,1,-1.183907454,-0.654806902,-2.665789403,-0.833542394,,
51.76786238,-9.085927351,2,2002,1,-1.107914836,-0.748224905,-2.400763534,-0.863813577,,
51.72157475,-9.186289744,2,2002,1,-1.092213882,-0.806840123,-1.904651079,-0.222281465,moderate,Coarse sediment
51.70750377,-9.286652137,2,2002,1,-1.071174604,-0.854098643,-1.807824302,-0.540779186,moderate,Sand to muddy sand
51.73679231,-9.499586139,2,2002,1,-0.953103429,-0.987814608,-1.594206465,-0.082945261,high,Coarse sediment
51.77811051,-9.587739316,2,2002,1,-0.834718235,-0.987814608,-0.849039568,0.894682664,moderate,Coarse sediment
51.94213846,-9.788464103,2,2002,1,-0.785417239,-0.99367613,0.284931757,0.542554405,moderate,Sand to muddy sand
51.97487455,-9.888826496,2,2002,1,-0.736744281,-1.006131864,4.323706389,-0.666770427,moderate,Coarse sediment
51.97781795,-9.989188889,2,2002,1,-0.727637728,-1.015290492,4.369624242,-0.872535574,moderate,Coarse sediment
51.94993233,-10.08955128,2,2002,1,-0.722299403,-1.020052978,4.715006354,-0.568973116,moderate,Coarse sediment
51.88793856,-10.18991368,2,2002,1,-0.740198491,-1.020052978,2.765494031,3.170667587,moderate,Coarse sediment
51.80599872,-10.25981609,2,2002,1,-0.740198491,-1.020785668,-1.377593984,-0.263358061,moderate,Coarse sediment
51.73679231,-10.29485314,2,2002,1,-0.776310685,-1.018587598,-2.665789403,-0.811235041,,
51.59837949,-10.3338669,2,2002,1,-0.776310685,-1.018587598,-2.614880479,-0.709326372,,
51.52917308,-10.37032142,2,2002,1,-0.776310685,-1.020052978,-2.663792974,-0.840131662,,
51.32155385,-10.52901816,2,2002,1,-0.756527483,-0.464307444,-2.6937394,-0.88105416,moderate,Mixed sediment
51.25231728,-10.59136325,2,2002,1,-0.756527483,-0.464307444,-2.6937394,-0.88105416,moderate,Mixed sediment
51.1119539,-10.79208803,2,2002,1,-1.049821306,0.008277749,-2.808534033,-0.88919058,moderate,Seabed
51.04472821,-10.85530688,2,2002,1,-1.049821306,0.008277749,-2.808534033,-0.896618146,low,Seabed
50.97552179,-10.8961751,2,2002,1,-1.049821306,-0.201638,-2.695236722,-0.83548404,low,Seabed
50.83710897,-10.92690427,2,2002,1,-1.049821306,-0.201638,-2.808534033,-0.887754379,low,Seabed
50.76790256,-10.92198281,2,2002,1,-1.049821306,-0.201638,-2.808534033,-0.887754379,low,Seabed
50.25034956,-8.985564957,2,2002,1,-0.592295503,-0.811968955,-2.343366218,-0.526780844,high,Rock or other hard substrata
50.23299095,-9.788464103,2,2002,1,-0.426807447,-1.01089435,3.46374486,0.465295392,moderate,Coarse sediment
50.3180609,-10.66836914,2,2002,1,-0.761865808,-0.318868435,-2.628855478,-0.893073872,high,Seabed
